model	target	n_sources	pvalue	weights	z_w_summary	nsnp_median	w_NorthMacedonia_IA	se_NorthMacedonia_IA	w_Bulgaria_IA	se_Bulgaria_IA	w_Albania_BA_IA	se_Albania_BA_IA	w_Aegean_BA_IA	se_Aegean_BA_IA	w_Croatia_IA	se_Croatia_IA	w_CroatiaSerbia_RomanLocal	se_CroatiaSerbia_RomanLocal	w_CroatiaSerbia_RomanAnatolian	se_CroatiaSerbia_RomanAnatolian	w_CEE_EarlyMedieval	se_CEE_EarlyMedieval
1src:CroatiaSerbia_RomanAnatolian	Gagauz	1	0.6505202119199651	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
1src:CroatiaSerbia_RomanAnatolian	Italian_North	1	0.00785795233419952	CroatiaSerbia_RomanAnatolian=1.000(0.000)	CroatiaSerbia_RomanAnatolian |z|=9699205656546.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0310122657570773e-13	NA	NA
2src:NorthMacedonia_IA+CEE	Bulgarian	2	0.6750116868924849	NorthMacedonia_IA=0.912(0.081); CEE_EarlyMedieval=0.088(0.081)	NorthMacedonia_IA |z|=11.2; CEE_EarlyMedieval |z|=1.1	NA	0.9121267346118278	0.08117601373747965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08787326538817222	0.08117601373747968
2src:NorthMacedonia_IA+CEE	Romanian	2	0.29354510253095834	NorthMacedonia_IA=0.900(0.065); CEE_EarlyMedieval=0.100(0.065)	NorthMacedonia_IA |z|=13.8; CEE_EarlyMedieval |z|=1.5	NA	0.8995829637040552	0.06502607448072746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10041703629594476	0.06502607448072753
2src:NorthMacedonia_IA+CEE	Albanian	2	0.975100286497215	NorthMacedonia_IA=0.927(0.077); CEE_EarlyMedieval=0.073(0.077)	NorthMacedonia_IA |z|=12.1; CEE_EarlyMedieval |z|=1.0	NA	0.9268382874226108	0.07690476500662939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07316171257738929	0.07690476500662938
2src:NorthMacedonia_IA+CEE	Croatian	2	0.5811111909409	NorthMacedonia_IA=0.930(0.079); CEE_EarlyMedieval=0.070(0.079)	NorthMacedonia_IA |z|=11.7; CEE_EarlyMedieval |z|=0.9	NA	0.929673184224858	0.07948446725929101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07032681577514206	0.07948446725929101
2src:NorthMacedonia_IA+CEE	Greek	2	0.9420972573351872	NorthMacedonia_IA=0.918(0.065); CEE_EarlyMedieval=0.082(0.065)	NorthMacedonia_IA |z|=14.2; CEE_EarlyMedieval |z|=1.3	NA	0.9180988540126016	0.06483446207417184	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08190114598739853	0.0648344620741719
2src:NorthMacedonia_IA+CEE	Greek_WGA	2	0.974153439905028	NorthMacedonia_IA=0.898(0.064); CEE_EarlyMedieval=0.102(0.064)	NorthMacedonia_IA |z|=13.9; CEE_EarlyMedieval |z|=1.6	NA	0.8983542178668699	0.06442165031440082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1016457821331301	0.06442165031440089
2src:NorthMacedonia_IA+CEE	Cypriot	2	0.6266050991669576	NorthMacedonia_IA=0.938(0.085); CEE_EarlyMedieval=0.062(0.085)	NorthMacedonia_IA |z|=11.1; CEE_EarlyMedieval |z|=0.7	NA	0.9376626682193958	0.08476936286999427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.06233733178060421	0.0847693628699943
2src:NorthMacedonia_IA+CEE	Bosnian_Serb	2	0.20285325023622972	NorthMacedonia_IA=1.063(0.102); CEE_EarlyMedieval=-0.063(0.102)	NorthMacedonia_IA |z|=10.5; CEE_EarlyMedieval |z|=0.6	NA	1.0633279046940856	0.10153164063417378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.06332790469408554	0.1015316406341736
2src:NorthMacedonia_IA+CEE	Serbian_Serb	2	0.32810038858927215	NorthMacedonia_IA=0.999(0.083); CEE_EarlyMedieval=0.001(0.083)	NorthMacedonia_IA |z|=12.1; CEE_EarlyMedieval |z|=0.0	NA	0.998834629202086	0.08277627198717008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0011653707979141501	0.0827762719871698
2src:NorthMacedonia_IA+CEE	Gagauz	2	0.5209624689263428	NorthMacedonia_IA=0.924(0.088); CEE_EarlyMedieval=0.076(0.088)	NorthMacedonia_IA |z|=10.5; CEE_EarlyMedieval |z|=0.9	NA	0.9241516132426184	0.08792169486748366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.07584838675738155	0.08792169486748373
2src:NorthMacedonia_IA+CEE	Italian_North	2	0.36655436402950886	NorthMacedonia_IA=0.962(0.070); CEE_EarlyMedieval=0.038(0.070)	NorthMacedonia_IA |z|=13.7; CEE_EarlyMedieval |z|=0.5	NA	0.9619600408879636	0.07044495314248814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.03803995911203634	0.07044495314248801
2src:Bulgaria_IA+CEE	Bulgarian	2	2.5744802530277707e-6	Bulgaria_IA=0.668(0.073); CEE_EarlyMedieval=0.332(0.073)	Bulgaria_IA |z|=9.2; CEE_EarlyMedieval |z|=4.6	NA	NA	NA	0.6676932375096895	0.07252949880246987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33230676249031055	0.07252949880246982
2src:Bulgaria_IA+CEE	Romanian	2	5.369338545590053e-7	Bulgaria_IA=0.706(0.063); CEE_EarlyMedieval=0.294(0.063)	Bulgaria_IA |z|=11.3; CEE_EarlyMedieval |z|=4.7	NA	NA	NA	0.7057450689674696	0.06271380159628165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29425493103253036	0.06271380159628162
2src:Bulgaria_IA+CEE	Albanian	2	2.947958205321683e-4	Bulgaria_IA=0.637(0.068); CEE_EarlyMedieval=0.363(0.068)	Bulgaria_IA |z|=9.3; CEE_EarlyMedieval |z|=5.3	NA	NA	NA	0.6374183512731403	0.06845141461560171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3625816487268597	0.06845141461560163
